Name	Team	Pos	SH	SG	G	A	OF	SV	ID
Coughlan, Graham	Southend United 	D	0	0	0	0	0	0	100
Cane, Jacob	Exeter City	M	0	0	0	0	0	0	101
Chorley, Ben	Portsmouth	D	0	0	0	1	0	0	102
Cavanagh, Peter	Rochdale	D	3	1	1	0	0	0	103
Collins, Michael	AFC Wimbledon	M	8	4	0	0	1	0	104
Collins, Sam	Hartlepool United	D	4	0	0	0	2	0	105
Carr, Daniel	Fleetwood Town	F	3	3	1	0	2	0	106
Cartright, Max	Fleetwood Town	F	0	0	0	0	0	0	107
Clarke, Ollie	Bristol Rovers	M	40	7	1	0	0	0	108
Clarkson, David	Bristol Rovers	F	47	22	6	0	5	0	109
Camps, Callum	Rochdale	M	0	0	0	0	0	0	110
Carter, Darren	Northampton Town	M	41	19	5	1	1	0	111
Chamberlain, Tom	York City	D	0	0	0	0	0	0	112
Carson, Josh	York City	M	47	22	4	3	4	0	113
Cole, Jake	Plymouth Argyle	G	1	1	0	1	0	39	114
Coulthirst, Shaquile	Torquay United	F	9	3	2	1	3	0	115
Connors, Jack	Dagenham & Redbridge	G	0	0	0	1	0	0	116
Chambers, Luke	Southend United 	D	0	0	0	0	0	0	117
Cain, Michael	Mansfield Town	G	0	0	0	0	0	0	118
Collis, Steven	Rochdale	G	0	0	0	0	0	0	119
Close, Ben	Portsmouth	M	0	0	0	0	0	0	120
Clements, Chris	Mansfield Town	M	20	5	1	5	1	0	121
Clucas, Samuel	Mansfield Town	M	88	39	8	2	27	1	122
Cureton, Jamie	Cheltenham Town	F	50	27	11	0	34	0	123
Coulson, Michael	York City	F	58	26	7	4	18	0	124
Clifford, Conor	Southend United 	M	23	3	1	0	0	0	125
Charles-Cook, Reice	Bury	G	0	0	0	0	0	3	126
Cameron, Nathan	Bury	D	17	7	4	0	1	0	127
Corr, Barry	Southend United 	F	78	32	12	5	52	0	128
Crossley, Mark	Chesterfield	G	0	0	0	0	0	0	129
Carole, Sebastien	Bury	M	0	0	0	0	0	0	130
Chippendale, Aiden	Bury	M	0	0	0	0	0	0	131
Clarke, Ryan	Oxford United	G	0	0	0	1	0	53	132
Crocombe, Max	Oxford United	G	0	0	0	0	0	0	133
Cristian, Cristian	Northampton Town	F	1	0	0	0	0	0	134
Cansdell-Sherriff, Shane	Burton Albion	D	13	6	0	0	0	0	135
